index,filename,time,temperature_K,pressure_GPa,cluster,PC1,PC2
163,seq_0161,2022-07-31 13:21:14,873.2,9.0,3,30.541,-13.205213
164,seq_0162,2022-07-31 13:22:14,873.06,9.0,3,29.553896,-12.295044
165,seq_0163,2022-07-31 13:23:13,873.06,9.0,3,29.996778,-13.8037405
166,seq_0164,2022-07-31 13:24:14,872.98,9.0,3,30.093912,-13.689558
167,seq_0165,2022-07-31 13:25:14,873.07,9.0,3,30.443588,-12.967687
168,seq_0166,2022-07-31 13:26:14,873.11,9.0,3,29.301771,-13.482579
169,seq_0167,2022-07-31 13:27:14,873.18,9.0,3,29.742916,-12.998754
170,seq_0168,2022-07-31 13:28:13,872.98,9.0,3,29.237452,-12.152259
171,seq_0169,2022-07-31 13:29:14,873.11,9.0,3,28.708057,-12.921434
172,seq_0170,2022-07-31 13:30:14,872.91,9.0,3,28.618406,-12.229589
173,seq_0171,2022-07-31 13:31:13,874.54,9.0,3,28.10655,-11.250807
174,seq_0172,2022-07-31 13:32:13,973.65,9.0,3,25.511293,-3.5376527
175,seq_0173,2022-07-31 13:33:14,1072.59,9.0,3,23.983875,1.9055227
176,seq_0174,2022-07-31 13:34:14,1071.39,9.0,1,21.785065,5.1289806
177,seq_0175,2022-07-31 13:35:14,1073.58,9.0,1,20.97199,7.223566
178,seq_0176,2022-07-31 13:36:14,1072.96,9.0,1,19.564562,8.404871
179,seq_0177,2022-07-31 13:37:13,1073.1,9.0,1,20.683369,8.307388
180,seq_0178,2022-07-31 13:38:14,1072.8,9.0,1,19.769331,6.9554076
181,seq_0179,2022-07-31 13:39:13,1073.52,9.0,1,19.405584,7.222882
182,seq_0180,2022-07-31 13:40:14,1073.43,9.0,1,20.496634,8.509882
183,seq_0181,2022-07-31 13:41:14,1072.98,9.0,1,21.467081,9.1141405
184,seq_0182,2022-07-31 13:42:14,1073.06,9.0,1,21.393394,9.42855
185,seq_0183,2022-07-31 13:43:14,1073.19,9.0,1,20.728611,6.855151
186,seq_0184,2022-07-31 13:44:14,1073.33,9.0,1,20.662596,6.789607
187,seq_0185,2022-07-31 13:45:14,1073.27,9.0,1,21.352793,8.682192
188,seq_0186,2022-07-31 13:46:14,1073.14,9.0,1,19.771387,9.225796
189,seq_0187,2022-07-31 13:47:14,1069.26,9.0,1,24.25077,5.535647
190,seq_0188,2022-07-31 13:48:14,975.87,9.0,3,30.285595,2.6912458
191,seq_0189,2022-07-31 13:49:14,880.23,9.0,3,33.93239,-0.510036
192,seq_0190,2022-07-31 13:50:14,783.43,9.0,3,37.298077,-3.6751642
193,seq_0191,2022-07-31 13:51:14,686.17,9.0,3,40.680008,-9.873375
194,seq_0192,2022-07-31 13:52:14,590.19,9.0,3,44.76706,-12.662255
195,seq_0193,2022-07-31 13:53:14,492.89,9.0,3,47.16884,-12.694316
196,seq_0194,2022-07-31 13:54:13,398.77,9.0,3,49.66792,-16.353886
